bayes_rating,Strategy Games,Abstract Games,Family Games,Thematic Games,Customizable Games,Wargames,Party Games,Children's Games
7.1473,1,0,0,0,0,0,0,0
5.80514,1,0,0,0,0,0,0,0
7.24579,1,0,0,0,0,0,0,0
5.7018,0,0,0,0,0,0,0,0
7.16294,1,0,0,0,0,0,0,0
5.55218,0,0,0,0,0,0,0,0
6.15873,0,1,0,0,0,0,0,0
5.57732,0,0,0,0,0,0,0,0
5.96117,1,0,0,0,0,0,0,0
6.50998,0,0,1,0,0,0,0,0
6.93764,0,0,1,0,0,0,0,0
7.31569,1,0,0,0,0,0,0,0
7.00212,1,0,1,0,0,0,0,0
6.16222,1,0,1,0,0,0,0,0
6.46501,1,0,0,1,0,0,0,0
6.01885,1,0,0,0,0,0,0,0
5.7793,0,0,0,0,1,0,0,0
6.95054,1,0,0,1,0,0,0,0
5.9169,0,0,1,0,0,0,0,0
6.11188,1,0,0,0,0,0,0,0
5.49895,0,0,0,0,0,0,0,0
6.39876,1,0,0,1,0,0,0,0
5.85716,0,0,0,1,0,1,0,0
5.82665,0,0,0,1,0,0,0,0
5.5648,0,0,0,1,0,1,0,0
6.40231,1,0,0,0,0,0,0,0
5.50036,0,0,0,0,0,1,0,0
6.18532,1,0,0,1,0,0,0,0
5.55117,0,0,0,0,0,0,0,0
5.97338,0,0,0,1,0,0,0,0
5.41255,0,0,0,1,0,0,0,0
5.58671,0,1,0,0,0,0,0,0
5.75311,0,0,0,1,0,0,0,0
5.65985,0,0,0,0,0,1,0,0
5.51238,0,0,0,0,0,1,0,0
5.54173,0,0,0,0,0,0,0,0
5.4876,0,0,0,0,0,0,0,0
5.67201,0,0,0,1,0,0,0,0
6.69165,0,0,1,0,0,0,0,0
7.5386,1,0,0,0,0,0,0,0
5.71212,1,0,0,0,0,0,0,0
5.98566,0,0,1,0,0,0,0,0
6.73452,0,0,1,0,0,0,1,0
6.84628,1,0,0,0,0,0,0,0
7.01499,1,0,1,0,0,0,0,0
5.69322,1,0,0,0,0,0,0,0
6.25425,0,0,1,0,0,0,0,0
7.07409,0,0,1,0,0,0,0,0
6.73281,0,1,0,0,0,0,0,0
5.629,0,0,0,0,0,1,0,0
5.50852,0,0,0,0,0,0,0,0
7.16785,1,0,0,0,0,0,0,0
5.46177,0,0,0,0,0,0,0,0
5.73882,1,0,0,0,0,0,0,0
6.00542,0,0,0,1,0,1,0,0
6.09113,1,0,0,0,0,0,0,0
6.64579,1,0,0,0,0,0,0,0
5.4797,0,1,1,0,0,0,0,0
5.46288,0,0,0,1,0,0,0,0
5.68163,0,0,0,0,0,1,0,0
5.66512,1,0,0,0,0,1,0,0
6.45425,1,0,0,0,0,0,0,0
5.6463,0,0,0,0,0,1,0,0
5.85443,0,0,0,0,0,1,0,0
5.53292,0,1,0,0,0,0,0,0
6.34448,1,0,1,0,0,0,0,0
7.10976,1,0,0,0,0,0,0,0
6.17667,1,0,0,0,0,0,0,0
6.29802,1,0,1,0,0,0,0,0
5.7183,0,0,0,0,0,0,1,0
5.4808,0,0,0,0,0,0,1,0
5.78177,1,0,0,0,0,0,0,0
6.13999,0,0,0,0,0,1,0,0
5.63549,0,0,0,0,0,1,0,0
5.55644,0,0,0,0,0,1,0,0
5.57752,0,0,0,0,0,1,0,0
5.58615,0,0,0,0,0,1,0,0
5.7244,0,0,0,0,0,1,0,0
5.56958,0,0,0,0,0,1,0,0
6.30001,0,0,0,0,0,1,0,0
5.93283,0,0,0,0,0,1,0,0
5.68665,0,0,0,0,0,1,0,0
6.86547,1,1,0,0,0,0,0,0
5.7879,0,0,0,0,0,1,0,0
5.70899,0,0,1,0,0,0,0,0
7.37341,0,0,0,0,0,1,0,0
7.60281,1,0,0,0,0,0,0,0
6.76627,1,0,0,0,0,0,0,0
5.86759,0,0,1,0,0,0,0,0
5.65432,0,0,0,1,0,0,0,0
5.76259,0,0,0,1,0,1,0,0
6.30064,0,0,0,0,0,1,0,0
6.19674,0,0,0,1,0,1,0,0
6.04644,0,0,1,0,0,0,0,0
5.7688,1,0,1,0,0,0,0,0
6.49512,0,0,0,1,0,1,0,0
5.72858,1,0,0,0,0,0,0,0
6.54011,1,0,1,0,0,0,0,0
6.49035,1,0,1,0,0,0,0,0
6.09653,0,1,0,0,0,0,0,0
5.61728,1,0,1,0,0,0,0,0
5.87286,0,0,1,0,0,0,0,0
6.05481,1,0,0,0,0,0,0,0
6.59706,1,0,0,0,0,0,0,0
5.6525,0,0,0,0,0,0,0,0
5.53675,0,0,0,0,0,0,0,0
6.39901,1,0,1,0,0,0,0,0
6.41187,0,0,1,0,0,0,0,0
6.21313,0,1,0,0,0,0,0,0
7.20951,1,0,0,0,0,0,0,0
6.35238,1,1,0,0,0,0,0,0
6.26887,0,0,1,0,0,0,0,0
7.11746,1,0,0,1,0,0,0,0
6.06104,1,0,0,0,0,0,0,0
6.58333,1,0,0,0,0,0,0,0
6.15805,0,0,1,0,0,0,0,0
5.7278,0,0,0,0,0,0,1,0
5.4716,0,0,0,0,0,1,0,0
6.2133,0,1,1,0,0,0,0,0
6.21703,1,0,0,0,0,0,0,0
6.15897,1,0,0,0,0,0,0,0
5.55775,1,0,0,0,0,0,0,0
5.63013,0,0,1,0,0,0,0,0
5.64276,1,0,0,0,0,0,0,0
5.50163,0,0,0,0,0,0,0,0
5.63729,0,0,0,0,0,0,1,0
5.56201,1,0,0,0,0,0,1,0
6.21758,0,0,1,0,0,0,1,0
5.90213,1,0,1,0,0,0,0,0
5.80106,1,0,0,0,0,0,0,0
5.54154,0,0,0,0,0,0,0,0
5.67656,1,0,1,0,0,0,0,0
5.73377,1,0,1,0,0,0,0,0
6.01229,1,0,0,0,0,0,0,0
5.52111,0,0,0,0,0,0,0,0
7.00839,0,0,1,0,0,0,1,0
5.727,0,0,0,0,0,0,0,0
6.42016,1,0,0,0,0,0,0,0
6.01354,0,0,1,0,0,0,0,0
5.57784,1,0,0,0,0,0,0,0
5.93749,1,0,1,0,0,0,0,0
5.85769,0,0,1,0,0,0,0,0
6.31585,1,0,0,0,0,0,0,0
5.94312,1,0,0,0,0,0,0,0
6.1032,0,0,0,1,0,0,0,0
6.18344,0,0,0,0,0,0,1,0
5.4494,0,0,1,1,0,0,0,0
5.80695,0,1,0,0,0,0,0,0
5.51281,0,0,0,0,0,0,0,0
5.56222,1,0,0,0,0,0,0,0
6.39496,1,0,0,0,0,0,0,0
5.99874,0,0,1,0,0,0,0,0
5.87931,0,0,1,1,0,0,0,0
6.92939,0,1,0,0,0,0,0,0
7.10514,0,0,1,0,0,0,0,0
6.70857,0,0,0,1,0,0,0,0
5.4983,0,0,0,0,0,0,0,0
6.04679,0,0,1,0,0,0,0,0
5.67127,0,0,1,1,0,0,0,0
7.16519,1,0,0,0,0,0,0,0
5.55323,0,1,0,0,0,0,0,0
5.52518,0,1,0,0,0,0,0,0
5.52267,0,1,0,0,0,0,0,0
5.45391,0,0,1,0,0,1,0,0
5.76955,1,0,1,0,0,0,0,0
5.55474,0,1,0,0,0,0,0,0
5.44823,0,0,1,0,0,0,0,0
